chamado_id,hospital_id,equipamento_id,falha_id,tecnico_id,tipo_chamado,status,data_abertura,data_fechamento,prioridade,descricao,tempo_resposta_horas
1,1,1,1,55,corretiva,em andamento,2026-05-27 06:48:00,,alto,Parada por falha em tc. Prioridade alto.,
2,1,2,2,54,corretiva,em andamento,2026-05-29 18:33:00,,baixo,Parada por falha em raio x. Prioridade baixo.,
3,1,3,3,28,corretiva,concluido,2026-05-06 07:35:00,2026-05-07 05:35:00,alto,Parada por falha em tc. Prioridade alto.,22
4,1,4,4,,corretiva,nao atribuido,2026-05-26 15:22:00,,alto,Parada por falha em ultrassom. Prioridade alto.,
5,1,5,5,4,corretiva,concluido,2026-01-02 13:32:00,2026-01-02 18:32:00,baixo,Parada por falha em raio x. Prioridade baixo.,5
6,1,6,,4,preventiva,concluido,2026-05-12 07:00:00,2026-05-12 18:00:00,alto,Chamado preventiva para ultrassom. Motivo: desgaste elevado. Prioridade alto.,11
7,1,7,6,39,corretiva,concluido,2026-03-14 09:07:00,2026-03-14 20:07:00,alto,Parada por falha em ultrassom. Prioridade alto.,11
8,1,8,,53,preventiva,concluido,2025-12-22 10:00:00,2025-12-24 10:00:00,baixo,Chamado preventiva para ressonancia magnetica. Motivo: desgaste elevado. Prioridade baixo.,48
9,1,9,7,,corretiva,nao atribuido,2026-05-25 09:13:00,,medio,Parada por falha em angiografia. Prioridade medio.,
10,1,10,8,36,corretiva,concluido,2026-04-22 16:21:00,2026-04-23 04:21:00,medio,Parada por falha em ressonancia magnetica. Prioridade medio.,12
11,1,11,9,15,corretiva,atribuido,2026-05-31 06:13:00,,baixo,Parada por falha em ressonancia magnetica. Prioridade baixo.,
12,1,12,,18,preventiva,concluido,2026-01-03 07:00:00,2026-01-04 12:00:00,baixo,Chamado preventiva para ressonancia magnetica. Motivo: desgaste elevado. Prioridade baixo.,29
13,1,13,10,22,corretiva,em andamento,2026-05-28 21:53:00,,alto,Parada por falha em angiografia. Prioridade alto.,
14,1,14,11,20,corretiva,concluido,2026-05-03 20:51:00,2026-05-04 09:51:00,baixo,Parada por falha em arco cirurgico. Prioridade baixo.,13
15,1,15,12,,corretiva,nao atribuido,2026-06-03 22:42:00,,medio,Parada por falha em angiografia. Prioridade medio.,
16,1,16,,44,preventiva,concluido,2026-02-13 11:00:00,2026-02-15 13:00:00,medio,Chamado preventiva para ressonancia magnetica. Motivo: MTBF proximo do vencimento. Prioridade medio.,50
